text,label
"NASA confirms the presence of water on Mars, opening possibilities for future missions.",REAL
A study shows that vaccines are the primary cause of global microchip tracking.,FAKE
Apple announces the launch of iPhone 15 with new AR features.,REAL
An anonymous source claims the Earth is flat and NASA faked all space photos.,FAKE
WHO declares Sri Lanka malaria-free after decades of successful campaigns.,REAL
"5G towers are secretly spreading COVID-19, says unverified viral Facebook post.",FAKE
UN Climate Summit concludes with nations pledging to cut carbon emissions by 50%.,REAL
New research proves chemtrails are being used by governments for mind control.,FAKE
Tesla releases full self-driving beta update to all users in North America.,REAL
Secret files reveal Obama is an alien sent from Mars to control world politics.,FAKE
Scientists develop eco-friendly plastic that decomposes in just 3 weeks.,REAL
"Bill Gates plans to reduce the world population through vaccines, claims a YouTube video.",FAKE
"UK to ban sale of new petrol and diesel cars by 2030, moving toward green energy.",REAL
"Aliens live in underwater bases, reveals retired military official.",FAKE
"Amazon to build new HQ in India, creating 10,000 new tech jobs.",REAL
"COVID-19 was created in a lab and leaked intentionally, says conspiracy theorist.",FAKE
Researchers invent smart contact lenses to measure blood sugar in real time.,REAL
Evidence found that moon landing was shot in a studio in Hollywood.,FAKE
Google AI now beats doctors in diagnosing breast cancer from X-rays.,REAL
"NASA hires psychic to communicate with Martians, report claims.",FAKE
Pfizer's new pill shows 89% effectiveness against COVID-19 in clinical trials.,REAL
"Bill Gates controls the weather using satellites, according to conspiracy forums.",FAKE
"India launches Chandrayaan-3, successfully lands near moon's south pole.",REAL
"Elvis Presley spotted alive in California diner, says tabloid.",FAKE
Microsoft to invest $10 billion into OpenAI to develop new AI tools.,REAL
Pyramids discovered on Mars by amateur astronomer using a telescope.,FAKE
Oxford scientists create malaria vaccine with 80% efficacy.,REAL
"Ancient aliens helped build the pyramids, according to History Channel episode.",FAKE
Japan’s flying car gets first approval for public road testing.,REAL
Shape-shifting lizards disguised as politicians caught on live camera.,FAKE
MIT researchers develop robot that can perform complex brain surgery autonomously.,REAL
"COVID vaccine alters DNA permanently, warns viral social media post.",FAKE
Solar panel roads tested in France prove successful in harsh weather.,REAL
"Bill Gates buys all farmland in USA to control food supply, claims tweet.",FAKE
Meta launches new virtual reality headset with eye-tracking and haptic feedback.,REAL
"Queen Elizabeth is a lizard in disguise, claims viral TikTok video.",FAKE
Google announces AI chip 10x faster than any existing processor.,REAL
"US government uses birds as drones for spying, conspiracy claims.",FAKE
Medical breakthrough: paralysis reversed in mice using nanotechnology.,REAL
Hollow Earth theory confirmed by scientist who reached inner world.,FAKE
Amazon unveils drone delivery in 15 minutes for urban areas.,REAL
"Aliens built Stonehenge using anti-gravity devices, says YouTube theorist.",FAKE
India’s new digital health ID system launched across all states.,REAL
"Time traveler from 3030 warns of robotic uprising, shares blurry photo.",FAKE
"Germany to phase out coal power by 2030, shifts to renewables.",REAL
"Secret base found on moon with active alien signals, says blog.",FAKE
Facebook introduces parental control tools for teen accounts.,REAL
Climate change is a hoax created to install global government.,FAKE
Researchers 3D print human heart from stem cells for transplant.,REAL
"Obama starts secret society to control Hollywood and media, rumor says.",FAKE
